"class","births","p_lbw","lower","upper","eligible","profile","group"
157,1229,0.283881513237612,0.262120840963263,0.296995978851443,TRUE,"sex=0, dmar=0, mager=0, meduc=1, precare1st=0, cig_0=1, race=Black","highest"
181,1710,0.283881513237612,0.262120840963263,0.296995978851443,TRUE,"sex=0, dmar=0, mager=0, meduc=1, precare1st=1, cig_0=1, race=Black","highest"
158,1280,0.232831522493771,0.220247950713375,0.264671943572077,TRUE,"sex=1, dmar=0, mager=0, meduc=1, precare1st=0, cig_0=1, race=Black","highest"
182,1709,0.232831522493771,0.220247950713375,0.264671943572077,TRUE,"sex=1, dmar=0, mager=0, meduc=1, precare1st=1, cig_0=1, race=Black","highest"
67,1973,0.204650846606658,0.170000487970581,0.218181680787248,TRUE,"sex=0, dmar=0, mager=1, meduc=1, precare1st=0, cig_0=1, race=White","highest"
68,2157,0.204568572725462,0.169263033276272,0.218181680787248,TRUE,"sex=1, dmar=0, mager=1, meduc=1, precare1st=0, cig_0=1, race=White","highest"
103,1382,0.182859500958347,0.177324345223871,0.194931224523952,TRUE,"sex=0, dmar=0, mager=1, meduc=0, precare1st=0, cig_0=0, race=Black","highest"
127,1320,0.182859500958347,0.177324345223871,0.194931224523952,TRUE,"sex=0, dmar=0, mager=1, meduc=0, precare1st=1, cig_0=0, race=Black","highest"
115,7351,0.182498550530318,0.177081867978213,0.194244626659184,TRUE,"sex=0, dmar=0, mager=1, meduc=1, precare1st=0, cig_0=0, race=Black","highest"
139,14884,0.182498550530318,0.177081867978213,0.194244626659184,TRUE,"sex=0, dmar=0, mager=1, meduc=1, precare1st=1, cig_0=0, race=Black","highest"
28,9099,0.0538711994171188,0.0519185754747921,0.0547483459518767,TRUE,"sex=1, dmar=1, mager=0, meduc=0, precare1st=1, cig_0=0, race=White","lowest"
40,346814,0.0538711994171188,0.0519185754747921,0.0547483459518767,TRUE,"sex=1, dmar=1, mager=0, meduc=1, precare1st=1, cig_0=0, race=White","lowest"
42,23829,0.0538711994171188,0.0519185754747921,0.0547483459518767,TRUE,"sex=1, dmar=Unknown, mager=0, meduc=1, precare1st=1, cig_0=0, race=White","lowest"
34,2066,0.0545247774005419,0.0528042395738648,0.0591057887987245,TRUE,"sex=1, dmar=1, mager=1, meduc=0, precare1st=1, cig_0=0, race=White","lowest"
46,157055,0.0545247774005419,0.0528042395738648,0.0591057887987245,TRUE,"sex=1, dmar=1, mager=1, meduc=1, precare1st=1, cig_0=0, race=White","lowest"
48,18214,0.0545247774005419,0.0528042395738648,0.0591057887987245,TRUE,"sex=1, dmar=Unknown, mager=1, meduc=1, precare1st=1, cig_0=0, race=White","lowest"
4,7515,0.0548661006858385,0.0519197941365648,0.0614334587544261,TRUE,"sex=1, dmar=1, mager=0, meduc=0, precare1st=0, cig_0=0, race=White","lowest"
16,57743,0.0548661006858385,0.0519197941365648,0.0614334587544261,TRUE,"sex=1, dmar=1, mager=0, meduc=1, precare1st=0, cig_0=0, race=White","lowest"
18,3248,0.0548661006858385,0.0519197941365648,0.0614334587544261,TRUE,"sex=1, dmar=Unknown, mager=0, meduc=1, precare1st=0, cig_0=0, race=White","lowest"
24,1695,0.0555224326320049,0.0537179867700934,0.061435069506011,TRUE,"sex=1, dmar=Unknown, mager=1, meduc=1, precare1st=0, cig_0=0, race=White","lowest"
