"class","births","p_lbw","lower","upper","eligible","profile","group"
116,1297,0.3578527862905,0.35009428438525,0.365061145686138,TRUE,"sex=1, dmar=0, mager=1, meduc=1, precare1st=0, cig_0=0, race=Black","highest"
140,2369,0.3578527862905,0.35009428438525,0.365061145686138,TRUE,"sex=1, dmar=0, mager=1, meduc=1, precare1st=1, cig_0=0, race=Black","highest"
142,2262,0.3578527862905,0.35009428438525,0.365061145686138,TRUE,"sex=1, dmar=1, mager=1, meduc=1, precare1st=1, cig_0=0, race=Black","highest"
115,1382,0.35778828414922,0.350050768361034,0.365061145686138,TRUE,"sex=0, dmar=0, mager=1, meduc=1, precare1st=0, cig_0=0, race=Black","highest"
139,2783,0.35778828414922,0.350050768361034,0.365061145686138,TRUE,"sex=0, dmar=0, mager=1, meduc=1, precare1st=1, cig_0=0, race=Black","highest"
141,2616,0.35778828414922,0.350050768361034,0.365061145686138,TRUE,"sex=0, dmar=1, mager=1, meduc=1, precare1st=1, cig_0=0, race=Black","highest"
136,2664,0.334893578274936,0.314001174957483,0.345144202456097,TRUE,"sex=1, dmar=1, mager=0, meduc=1, precare1st=1, cig_0=0, race=Black","highest"
110,5198,0.334889529345947,0.313989600715016,0.3451387194,TRUE,"sex=1, dmar=0, mager=0, meduc=1, precare1st=0, cig_0=0, race=Black","highest"
134,9451,0.334889529345947,0.313989600715016,0.3451387194,TRUE,"sex=1, dmar=0, mager=0, meduc=1, precare1st=1, cig_0=0, race=Black","highest"
98,1322,0.334887253047227,0.313988486634568,0.3451387194,TRUE,"sex=1, dmar=0, mager=0, meduc=0, precare1st=0, cig_0=0, race=Black","highest"
327,3011,0.230064706981602,0.205445963926283,0.254190784740353,TRUE,"sex=0, dmar=1, mager=0, meduc=1, precare1st=1, cig_0=0, race=Asian","lowest"
333,2637,0.247434367307832,0.223389568130546,0.292388343493728,TRUE,"sex=0, dmar=1, mager=1, meduc=1, precare1st=1, cig_0=0, race=Asian","lowest"
335,1166,0.247480466651028,0.22337901539866,0.292416205379997,TRUE,"sex=0, dmar=Unknown, mager=1, meduc=1, precare1st=1, cig_0=0, race=Asian","lowest"
193,2386,0.259822962248418,0.248861651670134,0.270717131602341,TRUE,"sex=0, dmar=0, mager=0, meduc=0, precare1st=0, cig_0=0, race=Hispanic","lowest"
205,3696,0.259822962248418,0.248861651670134,0.270717131602341,TRUE,"sex=0, dmar=0, mager=0, meduc=1, precare1st=0, cig_0=0, race=Hispanic","lowest"
217,2090,0.259822962248418,0.248861651670134,0.270717131602341,TRUE,"sex=0, dmar=0, mager=0, meduc=0, precare1st=1, cig_0=0, race=Hispanic","lowest"
229,6741,0.259822962248418,0.248861651670134,0.270717131602341,TRUE,"sex=0, dmar=0, mager=0, meduc=1, precare1st=1, cig_0=0, race=Hispanic","lowest"
233,3258,0.259828167321907,0.248861651670134,0.27071849143858,TRUE,"sex=0, dmar=Unknown, mager=0, meduc=1, precare1st=1, cig_0=0, race=Hispanic","lowest"
231,5757,0.259835815418528,0.248861651670134,0.270698331644279,TRUE,"sex=0, dmar=1, mager=0, meduc=1, precare1st=1, cig_0=0, race=Hispanic","lowest"
207,1889,0.259839786412724,0.248861651670134,0.270717131602341,TRUE,"sex=0, dmar=1, mager=0, meduc=1, precare1st=0, cig_0=0, race=Hispanic","lowest"
